crop_type,soil_type,soil_moisture_%,soil_pH,temperature_C,rainfall_mm,humidity_%,NDVI_index,region,recommended_irrigation_mm
Wheat,Alluvial soil,54.58,6.9,17.31,105.48,73.02,0.649,Uttar Pradesh,86.54
Garlic,Forest and Mountain soil,88.81,7.43,23.47,302.67,79.1,0.704,Bihar,0
Potato,Alluvial soil,67.58,6.65,25.62,134.99,77.19,0.791,Uttar Pradesh,0
Cotton,Black soil,55.18,7.77,28.8,91.23,71.84,0.579,Karnataka,80.4
Rice,Forest and Mountain soil,89.02,7.65,23.16,284.2,81.34,0.724,Punjab,0
Mustard,Red and Yellow soil,33.9,6.52,20.07,44.62,50.19,0.595,Madhya Pradesh,72.51
Maize,Red and Yellow soil,86.37,6.07,28.53,231.87,83.82,0.923,Madhya Pradesh,0
Cotton,Black soil,51.91,7.7,29.23,62.66,49.38,0.603,Rajasthan,89.68
Garlic,Black soil,61.61,7.55,20.84,227.98,75.88,0.859,Maharashtra,0
Cucumber,Red and Yellow soil,65.71,6.02,28.39,230.74,78.84,0.783,Karnataka,0
Chickpea,Forest and Mountain soil,50.81,6.31,18.03,125.49,72.86,0.877,West Bengal,0
Cotton,Black soil,53.93,6.54,28.4,103.09,69.72,0.7,Gujarat,0
Chilli,Red and Yellow soil,89.49,6.06,27.74,243.76,86.76,0.735,Madhya Pradesh,0
Chickpea,Black soil,47.29,7.71,19.8,127.7,56.3,0.684,Punjab,0
Lentil,Red and Yellow soil,27.94,6.57,22.61,37.57,44.85,0.666,Uttar Pradesh,83.4
Onion,Forest and Mountain soil,69.8,7.55,22.11,241.12,70.27,0.889,Gujarat,0
Maize,Black soil,58.85,7.58,26.12,149.7,72.7,0.841,Uttar Pradesh,0
Mustard,Red and Yellow soil,27.42,7.19,17.87,57.34,50.84,0.473,Rajasthan,71.92
Maize,Alluvial soil,55.3,6.87,29.23,76.86,67.23,0.66,Tamil Nadu,111.69
Chickpea,Alluvial soil,44.2,6.96,26.24,105.11,54.14,0.678,Bihar,61.75
Wheat,Forest and Mountain soil,50.09,7.07,27.27,114.6,58.88,0.797,Bihar,0
Sugarcane,Alluvial soil,83.88,7.38,31.02,203.14,80.27,0.793,Punjab,195.4
Chilli,Black soil,58.65,6.93,26.42,103.49,51.45,0.748,Odisha,93.65
Lentil,Alluvial soil,29.57,7.01,21.61,28.99,48.88,0.512,Haryana,74
Groundnut,Forest and Mountain soil,56.54,6.99,23.67,99.16,66.16,0.848,Karnataka,0
Onion,Alluvial soil,40.23,6.54,24.41,57.36,80.34,0.796,Andhra Pradesh,105.19
Groundnut,Red and Yellow soil,88.73,6.58,20.98,202.76,77.61,0.732,Haryana,0
Maize,Red and Yellow soil,49.99,5.75,27.66,93.79,64.37,0.737,Karnataka,130.39
Brinjal,Alluvial soil,64.47,7.43,21.3,154.71,83.64,0.69,Uttar Pradesh,0
Onion,Forest and Mountain soil,60.05,7.49,28.44,224.16,74.67,0.827,Uttar Pradesh,0
Potato,Red and Yellow soil,69.94,7.72,25.32,223.41,83.08,0.731,West Bengal,0
Tomato,Alluvial soil,51.35,6.86,25.4,90.78,63.91,0.753,Bihar,101.19
Rice,Black soil,66.56,6.99,33.21,152.86,81.54,0.738,Madhya Pradesh,179.62
Lentil,Alluvial soil,40.36,7.31,15.29,20,68.63,0.627,Jharkhand,68.51
Tomato,Red and Yellow soil,43.64,5.5,22.91,80.02,64.68,0.766,West Bengal,117.26
Cucumber,Forest and Mountain soil,56.13,6.08,25.44,95.12,63.97,0.702,Maharashtra,0
Sugarcane,Alluvial soil,74.2,7.13,27.54,197.07,76.14,0.798,Uttar Pradesh,200.98
Tomato,Red and Yellow soil,44.45,6.36,23.35,151.81,50,0.65,West Bengal,99.05
Cucumber,Forest and Mountain soil,56.82,6.15,28.43,205.75,76.57,0.679,Karnataka,0
Potato,Alluvial soil,54.81,6.19,30.97,141.69,72.55,0.841,Maharashtra,0
Soybean,Black soil,46.7,6.74,28.18,109.19,59.98,0.796,Rajasthan,84.85
Cabbage,Red and Yellow soil,60.21,5.8,23.87,45.58,62.6,0.699,Odisha,146.53
Potato,Red and Yellow soil,90.25,7.75,20.73,295.86,76.07,0.908,Punjab,0
Cucumber,Forest and Mountain soil,89.7,7,27.19,304.28,76.76,0.927,Karnataka,0
Tomato,Red and Yellow soil,87.5,7.01,28.21,272.36,91.29,0.767,Madhya Pradesh,0
Onion,Red and Yellow soil,47.74,5.61,23.57,116.23,52.25,0.588,Uttar Pradesh,95.63
Mustard,Red and Yellow soil,33.61,6.5,21.57,12.05,55.03,0.696,Haryana,81.25
Lentil,Red and Yellow soil,42.54,6.12,16.88,77.36,52.48,0.433,Punjab,66.42
Tomato,Alluvial soil,59.23,6.41,25.74,148.51,69.49,0.659,Karnataka,82.2
Onion,Alluvial soil,49.06,6.33,23.08,70.77,59.1,0.8,Tamil Nadu,96
Brinjal,Black soil,67.92,6.45,26.35,240.1,79.44,0.897,Punjab,0
Pumpkin,Alluvial soil,59.35,6.96,28.86,106.46,77.07,0.771,Gujarat,106.71
Mustard,Alluvial soil,31.65,7.41,25.27,48.33,51.74,0.641,Punjab,64.27
Pumpkin,Alluvial soil,51.8,7.48,22.86,128.41,61.03,0.706,Gujarat,0
Cauliflower,Alluvial soil,58.35,6.95,21.14,108.63,69.93,0.724,Assam,124.08
Soybean,Alluvial soil,94.78,6.24,29.41,272.22,84.94,0.879,Punjab,0
Onion,Black soil,52.48,7.37,23.25,74.21,45,0.683,Uttar Pradesh,88.16
Mustard,Forest and Mountain soil,46.16,7.22,18.26,91.21,63.79,0.764,West Bengal,0
Maize,Forest and Mountain soil,58.68,6.01,27.99,142.7,68.71,0.719,Punjab,0
Rice,Red and Yellow soil,78.37,7.1,23.02,385.47,91.36,0.769,Gujarat,0
Soybean,Forest and Mountain soil,41.71,7.7,19.97,84.8,61.04,0.764,Haryana,35.97
Cauliflower,Alluvial soil,91.18,7.57,23.09,277.51,78.43,0.744,Madhya Pradesh,0
Wheat,Forest and Mountain soil,37.55,6.76,12.41,139.52,52.29,0.609,Karnataka,97.4
Soybean,Black soil,51.87,6.97,25.71,105.2,68.96,0.498,Karnataka,81.76
Mustard,Alluvial soil,34.97,7.1,24.12,47.79,41.07,0.463,Gujarat,62.4
Garlic,Red and Yellow soil,68.02,6.55,18.22,181.75,84.45,0.754,Haryana,0
Tomato,Alluvial soil,59.16,7.05,22.94,26.68,59.36,0.793,Karnataka,111.3
Wheat,Black soil,64.85,7.09,31.35,91.66,64.08,0.715,Karnataka,0
Cotton,Red and Yellow soil,48.13,6,31.06,104.54,59.96,0.699,Punjab,112.21
Garlic,Red and Yellow soil,47.09,6.25,27.68,46.23,57.49,0.563,Uttar Pradesh,113.46
Mustard,Red and Yellow soil,38.36,6.32,21.09,55.49,56.07,0.533,Madhya Pradesh,67.87
Cauliflower,Black soil,80.81,7.34,19.96,134.52,90,0.669,Odisha,93.67
Rice,Alluvial soil,81.09,7.05,23.58,305.18,73.35,0.701,Madhya Pradesh,105.59
Cabbage,Black soil,74.66,7.38,26.58,392.45,92.22,0.736,Punjab,0
Tomato,Red and Yellow soil,39.8,6.05,24.25,59.55,57.73,0.727,Madhya Pradesh,125.36
Wheat,Red and Yellow soil,46.65,6.79,26.7,157.89,69.96,0.893,Haryana,0
Mustard,Black soil,76.63,7.36,23.89,385.1,89.7,0.738,Madhya Pradesh,0
Cauliflower,Forest and Mountain soil,85.14,7.71,24.22,264.86,75.29,0.821,Maharashtra,0
Potato,Alluvial soil,59.75,6.8,21.88,58.24,45.42,0.791,Jharkhand,105.64
Pumpkin,Red and Yellow soil,52.66,6.47,27.28,128.19,58.3,0.808,Rajasthan,114.5
Groundnut,Red and Yellow soil,47.08,6.1,27.95,42.74,62.91,0.593,Andhra Pradesh,112.35
Lentil,Red and Yellow soil,73.52,6.18,28.52,320.48,91.91,0.863,Uttar Pradesh,0
Tomato,Black soil,45.25,7.56,28.09,93.06,63.01,0.741,Madhya Pradesh,100.63
Cabbage,Black soil,70.68,7.58,20.84,113.63,77.5,0.677,Tamil Nadu,102.02
Cucumber,Alluvial soil,59.34,6.09,26.06,235.62,69.1,0.882,Bihar,0
Soybean,Alluvial soil,42.53,6.82,28.32,63.95,76.82,0.666,Karnataka,108.72
Garlic,Forest and Mountain soil,70.76,6.65,19.46,206.54,92.48,0.798,Gujarat,0
Cucumber,Forest and Mountain soil,61.67,6.36,21.72,148.25,67.75,0.825,Karnataka,0
Wheat,Black soil,55,6.02,21.67,154.24,63.09,0.769,Karnataka,0
Groundnut,Alluvial soil,45.04,6.6,27.41,93.64,51.01,0.579,Tamil Nadu,90.63
Pumpkin,Red and Yellow soil,55.46,6.38,29.79,83.16,60.96,0.779,Karnataka,27.38
Cucumber,Alluvial soil,54.76,7.1,31.67,75.66,69.98,0.767,Gujarat,120.57
Chickpea,Forest and Mountain soil,49.13,7.01,22.52,56.61,52.92,0.828,Bihar,38.67
Onion,Forest and Mountain soil,85.59,7.3,24.78,237.31,77.11,0.737,Punjab,0
Garlic,Alluvial soil,40.34,6.62,26.01,67.34,50.48,0.73,Madhya Pradesh,101.56
Wheat,Forest and Mountain soil,51.93,6.6,19.4,161.01,56.81,0.751,Bihar,0
Pumpkin,Red and Yellow soil,57.49,5.85,21.82,125.32,69.91,0.686,Maharashtra,109.58
Onion,Black soil,58.52,7.68,25.35,137.86,67.56,0.682,Uttar Pradesh,0
Onion,Red and Yellow soil,52.9,6.26,25.53,79.54,50.43,0.636,Bihar,102.49
Wheat,Alluvial soil,51.1,7.11,27.29,161.05,64.6,0.737,Gujarat,0
Mustard,Alluvial soil,53,7.5,26.49,98.46,66.36,0.834,Maharashtra,0
Cucumber,Black soil,86.44,6.38,24.71,225.62,82.23,0.777,Karnataka,0
Rice,Red and Yellow soil,88.46,6.47,25.15,351.03,76.53,0.664,Punjab,0
Tomato,Red and Yellow soil,43.96,6.51,26.59,82.34,71.49,0.735,West Bengal,118.33
Potato,Forest and Mountain soil,63.67,6.36,25.82,102.83,50.69,0.685,Assam,98.71
Maize,Red and Yellow soil,45.84,6.33,30.79,97.76,73.81,0.531,Uttar Pradesh,133.87
Cauliflower,Alluvial soil,82.12,6.79,19.86,378.22,82.16,0.873,Tamil Nadu,0
Groundnut,Black soil,38.75,6.42,25.7,48.07,69.42,0.548,Uttar Pradesh,95.11
Cauliflower,Black soil,74,6.97,22.79,111.79,55,0.786,Assam,104.57
Pumpkin,Alluvial soil,64.51,6.61,26.78,83.07,57.14,0.684,Maharashtra,108.42
Cucumber,Black soil,62.78,7.79,29.11,137.95,61.93,0.657,Gujarat,93.9
Mustard,Alluvial soil,53.55,6.25,22.61,134.03,71.87,0.743,Punjab,0
Maize,Red and Yellow soil,46.57,6.88,30.17,123,64.98,0.612,Haryana,126.73
Cucumber,Black soil,59.65,6.83,28.99,136,89.41,0.79,West Bengal,96.2
Groundnut,Red and Yellow soil,40.8,6.36,25.81,112.58,63.59,0.85,Karnataka,97.8
Maize,Red and Yellow soil,60.65,6.01,29.85,99.73,64.92,0.593,Punjab,122.54
Cucumber,Red and Yellow soil,51.39,6.69,30.31,120.87,55,0.76,Uttar Pradesh,120.6
Cotton,Alluvial soil,47.56,7.57,22.75,150.93,60.19,0.671,Punjab,0
Soybean,Red and Yellow soil,45.93,6.69,23.2,95.23,56.36,0.869,Bihar,0
Chickpea,Black soil,60.31,6.35,29.76,110.19,57.55,0.728,Maharashtra,0
Chilli,Black soil,53.31,7.04,31.19,119.17,71.95,0.622,Uttar Pradesh,95.31
Pumpkin,Alluvial soil,60.06,6.89,23.41,240.67,69.9,0.814,Uttar Pradesh,0
Cucumber,Forest and Mountain soil,55.14,6.07,21.94,142.74,74.46,0.745,Punjab,0
Potato,Red and Yellow soil,48.14,5.67,20.75,36.46,59.95,0.617,Jharkhand,127.6
Maize,Red and Yellow soil,48.55,7.06,24.45,137.61,55.87,0.758,West Bengal,0
Brinjal,Forest and Mountain soil,61.59,6.95,22.22,187.15,67.24,0.73,Uttar Pradesh,0
Cauliflower,Alluvial soil,68.07,6.45,28.36,98.15,60.72,0.745,Madhya Pradesh,12.64
Chilli,Alluvial soil,67.42,7.62,19.59,211.21,82.34,0.769,Madhya Pradesh,0
Cauliflower,Red and Yellow soil,91.51,7.22,22.78,293.33,80.03,0.851,Bihar,0
Cauliflower,Alluvial soil,60.53,6.43,23.64,87.34,69.01,0.68,Madhya Pradesh,129.11
Maize,Alluvial soil,52.79,7.47,19.03,147.23,66.28,0.721,Uttar Pradesh,0
Soybean,Red and Yellow soil,44.78,6.59,21.53,69.89,51.48,0.72,Telangana,118.17
Onion,Alluvial soil,49.2,6.99,28.87,114.11,83.93,0.515,Madhya Pradesh,87.4
Soybean,Red and Yellow soil,51.09,6.54,22.61,141.91,56.06,0.667,Bihar,0
Lentil,Alluvial soil,53.13,6.86,25.18,140.23,73.05,0.691,Maharashtra,0
Tomato,Forest and Mountain soil,83.98,7.18,27.79,314.48,82.99,0.897,Punjab,0
Groundnut,Red and Yellow soil,40.65,6.39,22.95,95.85,57.81,0.643,Maharashtra,100.92
Chickpea,Alluvial soil,38.75,7.29,25.28,68.08,50.38,0.549,Haryana,71.59
Onion,Red and Yellow soil,87.54,7.33,27.91,304,77.52,0.742,Karnataka,0
Sugarcane,Forest and Mountain soil,71.64,6.98,29.14,333.27,78.02,0.743,Uttar Pradesh,0
Tomato,Red and Yellow soil,53.93,6.66,29.93,108.51,62.66,0.872,Tamil Nadu,107.48
Lentil,Red and Yellow soil,45.77,6.53,16.05,40.24,39.55,0.483,Jharkhand,71.98
Tomato,Black soil,65,6.15,24.97,171.28,73.67,0.826,Haryana,0
Sugarcane,Alluvial soil,88.77,7.21,28.26,283.36,75.55,0.792,Punjab,0
Cucumber,Red and Yellow soil,44,6.51,26.36,73.98,89.93,0.835,Karnataka,134.78
Garlic,Forest and Mountain soil,60.74,7.26,27.96,140.86,66.24,0.71,Punjab,0
Wheat,Forest and Mountain soil,55.96,7.77,25.33,91.76,66.89,0.726,Bihar,0
Wheat,Alluvial soil,70.42,6.85,24.42,266.26,80.43,0.87,Maharashtra,0
Soybean,Alluvial soil,47.35,7.1,27.48,120.5,62.57,0.681,Punjab,0
Cotton,Black soil,52.54,7.26,23.54,107.52,60.33,0.642,Andhra Pradesh,75.81
Maize,Black soil,49.86,7.26,35,114.22,79.6,0.66,West Bengal,104.04
Chilli,Alluvial soil,88.24,6.49,28.97,374.16,78.14,0.705,Karnataka,0
Groundnut,Red and Yellow soil,36.42,6.55,26.25,94.85,64.47,0.636,Madhya Pradesh,105.03
Cabbage,Red and Yellow soil,68.09,6.4,23.73,75.9,62.86,0.775,Maharashtra,134.16
Chilli,Alluvial soil,50.23,7,29.52,158.31,50.25,0.557,Madhya Pradesh,91.54
Maize,Red and Yellow soil,50.21,6.61,20.86,135.79,67.61,0.617,Tamil Nadu,116.33
Wheat,Red and Yellow soil,76.57,7.55,19.33,287.04,86.53,0.84,Uttar Pradesh,0
Rice,Alluvial soil,62.45,7.13,27.76,86.93,57.18,0.823,Gujarat,0
Maize,Alluvial soil,47.91,6.64,28.8,118.27,64.59,0.834,Rajasthan,106.3
Tomato,Forest and Mountain soil,56.64,7.61,25.53,100.49,61.41,0.681,West Bengal,0
Groundnut,Alluvial soil,43.08,7.7,24.83,70.57,59.34,0.624,Bihar,39.6
Lentil,Alluvial soil,58.62,6.5,25.89,137.11,65.29,0.736,Karnataka,0
Onion,Alluvial soil,51.95,5.86,23.34,20,62.22,0.5,Karnataka,107.07
Potato,Alluvial soil,45.8,6.44,22.1,68.8,63.32,0.748,Assam,111.46
Soybean,Red and Yellow soil,54.03,6.03,22.92,152.41,74.53,0.768,Gujarat,92.55
Groundnut,Red and Yellow soil,70.18,6.87,29.91,395.26,84.62,0.753,Uttar Pradesh,0
Sugarcane,Red and Yellow soil,81.36,6.62,19.3,320.37,92.51,0.792,Punjab,0
Wheat,Forest and Mountain soil,56.57,7.66,25.41,90.45,67.09,0.843,Tamil Nadu,0
Sugarcane,Alluvial soil,76.4,6.9,24.11,125.58,80.46,0.676,Haryana,215.82
Lentil,Black soil,63.9,7.71,24.11,126.64,72,0.845,Haryana,0
Cauliflower,Alluvial soil,60.28,6.5,20.43,107.59,55,0.676,Odisha,122.9
Groundnut,Red and Yellow soil,28.89,6.57,26.66,77.03,72.35,0.569,Madhya Pradesh,114.17
Tomato,Black soil,67.42,7.4,22.51,217.21,71.87,0.673,Tamil Nadu,0
Chilli,Alluvial soil,64.47,6.95,31.78,89.05,57.93,0.727,Haryana,0
Tomato,Alluvial soil,60.75,5.79,25.38,105.52,74.8,0.656,Andhra Pradesh,91.86
Cauliflower,Red and Yellow soil,79.06,6.16,21.29,368.18,86.21,0.868,Gujarat,0
Pumpkin,Forest and Mountain soil,70.78,6.46,26.47,389,90.44,0.943,Bihar,0
Soybean,Alluvial soil,52.05,7.06,26.95,62.28,65.28,0.588,Karnataka,102.88
Groundnut,Forest and Mountain soil,48.48,6.95,18.61,158.76,74.32,0.885,Haryana,0
Soybean,Forest and Mountain soil,54.42,6.99,20.57,108.04,59.52,0.841,Haryana,0
Brinjal,Black soil,65.93,6.45,24.64,143.85,78.69,0.736,Haryana,0
Rice,Alluvial soil,64.22,6.03,28.29,102.89,67.8,0.756,Haryana,0
Potato,Forest and Mountain soil,59.53,6.2,18.98,26.6,70.32,0.6,Uttar Pradesh,117.52
Mustard,Red and Yellow soil,37.71,7.05,18.18,68.34,46.99,0.634,Punjab,64.11
Chilli,Alluvial soil,46.39,6.76,28.98,151.56,63.17,0.707,Maharashtra,95.27
Rice,Red and Yellow soil,73.66,7.17,23.33,200.26,92.51,0.857,Haryana,0
Onion,Red and Yellow soil,47.79,6.1,27.86,85.09,59.14,0.678,Maharashtra,105.1
Cabbage,Alluvial soil,67.63,6.21,22.54,119.93,66.47,0.612,Assam,112.95
Cabbage,Red and Yellow soil,82.68,6.04,27.72,273.95,82.01,0.693,Tamil Nadu,0
Maize,Alluvial soil,54.83,6.84,30.48,112.45,64.68,0.69,Bihar,103.75
Potato,Black soil,64.32,7.3,18.5,232.58,67.16,0.759,Tamil Nadu,0
Groundnut,Red and Yellow soil,34.92,6.2,28.04,95.71,68.63,0.662,Madhya Pradesh,106.44
Cotton,Forest and Mountain soil,75.19,6.05,24.93,292.09,83.44,0.76,Tamil Nadu,0
Chilli,Alluvial soil,51.02,6.75,28.98,83.03,63.03,0.675,Telangana,109.62
Cabbage,Black soil,70.51,7.17,27.14,84.08,69.34,0.577,Uttar Pradesh,112.03
Potato,Alluvial soil,62.47,6.17,21.75,58,60.98,0.584,Punjab,104.02
Brinjal,Alluvial soil,64.83,6.14,18.09,202.95,74.43,0.843,Tamil Nadu,0
Cucumber,Red and Yellow soil,49.38,7.76,18.18,69.61,64.68,0.65,Haryana,29.64
Wheat,Forest and Mountain soil,72.07,6.58,23.69,349.12,94.4,0.815,Gujarat,0
Sugarcane,Alluvial soil,70.45,6.78,29.36,159.71,83.65,0.826,Bihar,213.48
Tomato,Black soil,58.88,6.96,27.27,84.98,63.5,0.608,Karnataka,94.06
Cucumber,Alluvial soil,92.57,7.67,27.89,392.25,85.21,0.796,Haryana,0
Chilli,Forest and Mountain soil,58.28,6.12,29.32,199.26,74.93,0.869,Uttar Pradesh,0
Chickpea,Alluvial soil,85.11,7.24,25.2,389.72,80.61,0.742,Madhya Pradesh,0
Lentil,Alluvial soil,40.98,7.49,22.1,53.69,40.56,0.696,Jharkhand,63.5
Cucumber,Red and Yellow soil,69.92,7.16,24.77,197.81,71.18,0.838,Maharashtra,0
Lentil,Red and Yellow soil,47.27,6.71,30.19,58.27,65.61,0.842,Haryana,41.57
Mustard,Forest and Mountain soil,57.87,7.72,22.99,95.97,73.71,0.705,Tamil Nadu,0
Cotton,Alluvial soil,76.77,6.04,24.76,298.38,90.7,0.851,Madhya Pradesh,0
Wheat,Black soil,54.62,7.35,19.02,84.48,60.3,0.62,Tamil Nadu,101.95
Soybean,Forest and Mountain soil,91.24,7.52,19.74,381.15,79.71,0.871,Uttar Pradesh,0
Cabbage,Forest and Mountain soil,86.54,7.21,19.6,229.56,94.07,0.86,Uttar Pradesh,0
Cabbage,Alluvial soil,85.96,6.33,18.01,269.64,82.4,0.687,Uttar Pradesh,0
Cucumber,Black soil,66.75,6.52,22.89,143.05,74.19,0.785,Maharashtra,0
Chilli,Alluvial soil,58.1,6.78,22.32,115.24,69.83,0.671,Uttar Pradesh,93.99
Chickpea,Red and Yellow soil,56.62,6.76,20.37,153.11,57.95,0.838,Punjab,0
Lentil,Black soil,34.53,6.88,17.74,66.84,59.57,0.737,Chhattisgarh,57.79
Groundnut,Alluvial soil,41,6.44,27.51,48.99,69.29,0.647,Chhattisgarh,104.25
Soybean,Black soil,53.61,7.17,32.79,138.22,73.97,0.745,Bihar,75.29
Lentil,Black soil,46.31,7.73,19.79,164.6,66.82,0.89,Uttar Pradesh,0
Chilli,Red and Yellow soil,60.61,6.53,24.34,157.92,84.4,0.84,Bihar,0
Soybean,Forest and Mountain soil,57.77,6.89,18.12,131.1,72.8,0.866,West Bengal,0
Potato,Alluvial soil,85.66,6.03,21.66,245.36,87.38,0.719,Haryana,0
Wheat,Black soil,81.08,6.17,29.83,242.79,84.08,0.8,Gujarat,0
Wheat,Forest and Mountain soil,59.81,6.93,25.95,102.01,64.65,0.651,Gujarat,0
Cotton,Red and Yellow soil,48.02,7.17,26.66,107.08,40,0.696,Maharashtra,109.88
Tomato,Red and Yellow soil,36.05,6.18,24.51,142.29,50,0.832,Maharashtra,107.05
Cauliflower,Black soil,70.95,7.41,17.94,65.24,55,0.604,Uttar Pradesh,116.1
Groundnut,Red and Yellow soil,41.08,6.69,32.04,124.15,68.81,0.584,Tamil Nadu,97.23
Sugarcane,Alluvial soil,70.73,6.91,26.72,104.84,84.47,0.676,Uttar Pradesh,225.71
Groundnut,Red and Yellow soil,42.34,6.66,26.18,96.04,51.24,0.464,Rajasthan,101.15
Wheat,Forest and Mountain soil,48.47,6.45,15.77,59.53,43.01,0.602,Uttar Pradesh,110.98
Potato,Black soil,55.03,7.5,29.74,165.88,75.03,0.674,Maharashtra,0
Rice,Forest and Mountain soil,89.2,6.46,26.66,256.8,75.43,0.714,Maharashtra,0
Cabbage,Red and Yellow soil,85.92,6.4,27.99,274.79,76.58,0.739,Haryana,0
Wheat,Black soil,45.53,6.93,14.43,43.51,55.16,0.66,Bihar,123.81
Chilli,Alluvial soil,88.91,7.14,27.73,242.56,75.59,0.945,Gujarat,0
Lentil,Black soil,49.04,6.84,19.53,99.25,59.99,0.857,Punjab,0
Maize,Alluvial soil,51.49,6.71,23.71,92.51,67.33,0.635,Uttar Pradesh,107.68
Maize,Alluvial soil,46.19,6.39,26.68,80.27,58.12,0.79,Uttar Pradesh,0
Tomato,Alluvial soil,55.65,6.81,20.33,241.12,77.96,0.896,Madhya Pradesh,0
Onion,Alluvial soil,59.73,6.72,24.84,103.88,57.83,0.544,Karnataka,82.03
Wheat,Alluvial soil,47.97,6.17,27.22,135.91,56.09,0.683,Gujarat,0
Cabbage,Red and Yellow soil,75.37,6.03,21.68,312.81,91.66,0.808,Tamil Nadu,0
Mustard,Alluvial soil,35.4,7.06,21.37,48.05,53.79,0.437,Chhattisgarh,61.3
Garlic,Red and Yellow soil,67.16,6.47,27.16,148.79,66.54,0.776,Uttar Pradesh,0
Cucumber,Black soil,61.09,6.63,18.96,183.39,71.47,0.89,Haryana,0
Chickpea,Black soil,54.96,6.09,25.22,144.8,56.45,0.693,Haryana,0
Maize,Forest and Mountain soil,58.29,6.92,21.26,109.24,69.9,0.633,Punjab,102.51
Onion,Red and Yellow soil,51.26,5.86,22.62,91.12,51.66,0.5,Andhra Pradesh,99.41
Potato,Black soil,74.57,6.64,25.29,295.1,91.81,0.773,Maharashtra,0
Cucumber,Black soil,65.1,7.79,23.91,120.39,73.33,0.717,Tamil Nadu,94.3
Wheat,Alluvial soil,52.48,6.94,21.34,63.43,70.31,0.504,Tamil Nadu,98.82
Chilli,Black soil,83.85,7.76,21.57,285.29,90.22,0.851,Uttar Pradesh,0
Cucumber,Red and Yellow soil,66.72,6.32,28.95,163.42,67.18,0.736,Haryana,0
Maize,Alluvial soil,51.38,6.45,24.47,124.23,69.8,0.62,West Bengal,100.21
Maize,Forest and Mountain soil,55.33,6.59,26.21,68.77,68.75,0.577,Uttar Pradesh,117.18
Tomato,Black soil,67.69,6.83,20.33,166.43,77.03,0.817,Madhya Pradesh,0
Rice,Red and Yellow soil,74.49,7.8,25.13,252.81,78.83,0.832,Uttar Pradesh,0
Soybean,Forest and Mountain soil,82.22,6.05,29.07,248.05,84.96,0.767,Tamil Nadu,0
Rice,Peaty and Marshy soil,89.62,5.64,26.21,194.94,64.52,0.67,Tamil Nadu,98.75
Mustard,Alluvial soil,36.36,6.49,23.99,60.32,50.42,0.579,Uttar Pradesh,58.54
Garlic,Alluvial soil,48.62,6.19,26.91,77.17,43.97,0.75,Madhya Pradesh,94.5
Lentil,Alluvial soil,53.76,7.35,18.79,109.94,72.83,0.792,Uttar Pradesh,0
Soybean,Alluvial soil,54.26,6.65,30.04,76.94,65.38,0.624,Karnataka,99.13
Soybean,Black soil,47.86,7.24,24.89,162.86,68.57,0.56,Rajasthan,69.43
Tomato,Black soil,64.59,6.02,28.79,192.19,79.02,0.829,Maharashtra,0
Rice,Forest and Mountain soil,83.84,7.27,24.87,258.03,82.86,0.843,Punjab,0
Maize,Alluvial soil,49.6,6.39,33.78,126,77.1,0.683,Karnataka,105.67
Maize,Forest and Mountain soil,51.53,6.19,29.68,80.09,72.73,0.735,Tamil Nadu,0
Maize,Forest and Mountain soil,57.17,6.13,20.73,163.36,66.31,0.724,Madhya Pradesh,0
Chilli,Black soil,68.76,6.86,29.28,70.67,50,0.608,Telangana,97.22
Cauliflower,Red and Yellow soil,86.17,7.07,28.11,390.14,75.58,0.669,Punjab,0
Chickpea,Black soil,88.21,7.42,25.93,295.95,79.07,0.918,Madhya Pradesh,0
Pumpkin,Red and Yellow soil,70.08,6.27,20.48,269.33,84.22,0.733,Tamil Nadu,0
Lentil,Black soil,57.07,6.91,19.09,142.81,72.27,0.805,West Bengal,0
Cabbage,Black soil,55.77,6.69,28.02,108.29,74.38,0.79,West Bengal,0
Wheat,Alluvial soil,52.05,7.51,13.13,74.78,68.3,0.456,Tamil Nadu,99.86
Rice,Red and Yellow soil,88.7,6.66,29.78,255.64,86.56,0.682,Uttar Pradesh,0
Groundnut,Red and Yellow soil,92.08,6.85,26.8,269.07,79.56,0.728,Karnataka,0
Onion,Red and Yellow soil,46.67,6.09,23.31,84.65,52.11,0.5,Andhra Pradesh,104.06
Chickpea,Black soil,46.44,6.41,25.1,168.32,62.57,0.705,Bihar,0
Mustard,Forest and Mountain soil,57.54,6.98,22.25,122.43,71.98,0.832,Tamil Nadu,0
Lentil,Black soil,51.5,6.88,25.41,160.69,72.79,0.68,West Bengal,0
Brinjal,Red and Yellow soil,79.99,6.23,20.99,390.34,92.94,0.756,Haryana,0
Lentil,Alluvial soil,45.67,7.29,24.48,159.9,67.12,0.709,Punjab,0
Wheat,Black soil,51.73,7.5,23.22,144.79,66.38,0.882,West Bengal,0
Maize,Alluvial soil,48.1,7.75,24.11,77.68,67.26,0.644,Haryana,35.44
Wheat,Forest and Mountain soil,52.72,6.69,21.99,57.12,68.11,0.664,Maharashtra,105.19
Cabbage,Black soil,65.93,6.77,21.02,65.72,75,0.632,Odisha,116.92
Sugarcane,Forest and Mountain soil,61.53,7.45,25.29,88.46,61.95,0.655,West Bengal,0
Cabbage,Forest and Mountain soil,85.81,7.37,19.15,250.78,78.71,0.82,Haryana,0
Mustard,Alluvial soil,58.11,6.76,24.77,162.8,59.99,0.77,Haryana,0
